[2025-07-24T15:22:54.890+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tune_stream_dag.Stage_events scheduled__2023-01-05T09:00:00+00:00 [queued]>
[2025-07-24T15:22:54.897+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tune_stream_dag.Stage_events scheduled__2023-01-05T09:00:00+00:00 [queued]>
[2025-07-24T15:22:54.898+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 4
[2025-07-24T15:22:55.865+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): Stage_events> on 2023-01-05 09:00:00+00:00
[2025-07-24T15:22:55.995+0000] {standard_task_runner.py:60} INFO - Started process 870 to run task
[2025-07-24T15:22:55.999+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'tune_stream_dag', 'Stage_events', 'scheduled__2023-01-05T09:00:00+00:00', '--job-id', '890', '--raw', '--subdir', 'DAGS_FOLDER/etl_pipeline.py', '--cfg-path', '/tmp/tmp8xeydf4j']
[2025-07-24T15:22:56.002+0000] {standard_task_runner.py:88} INFO - Job 890: Subtask Stage_events
[2025-07-24T15:22:57.137+0000] {task_command.py:423} INFO - Running <TaskInstance: tune_stream_dag.Stage_events scheduled__2023-01-05T09:00:00+00:00 [running]> on host c53547d84df1
[2025-07-24T15:23:00.452+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='genz-legend' AIRFLOW_CTX_DAG_ID='tune_stream_dag' AIRFLOW_CTX_TASK_ID='Stage_events' AIRFLOW_CTX_EXECUTION_DATE='2023-01-05T09:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2023-01-05T09:00:00+00:00'
[2025-07-24T15:23:06.431+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: server closed the connection unexpectedly
	This probably means the server terminated abnormally
	before or while processing the request.
[2025-07-24T15:23:06.492+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.495+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.497+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.498+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.499+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.504+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.506+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.510+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.513+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.515+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.519+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.522+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.524+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.527+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.531+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.533+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.534+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.548+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
[2025-07-24T15:23:06.549+0000] {logging_mixin.py:188} INFO - Failed to insert from 2018-11-20-events.json: cursor already closed
